workerID,taskID,response,goldLabel,taskContent
A19IBSKBTABMR3,266,1,1,three five perman member franc russia china push u.n. secur council lift embargo iraq
AEX5NCH03LWSG,266,1,1,three five perman member franc russia china push u.n. secur council lift embargo iraq
A17RPF5ZMO75GW,266,1,1,three five perman member franc russia china push u.n. secur council lift embargo iraq
A15L6WGIK3VU7N,266,0,1,three five perman member franc russia china push u.n. secur council lift embargo iraq
A3U7T47F498T1P,266,1,1,three five perman member franc russia china push u.n. secur council lift embargo iraq
AXBQF8RALCIGV,266,1,1,three five perman member franc russia china push u.n. secur council lift embargo iraq
A1DCEOFAUIDY58,266,1,1,three five perman member franc russia china push u.n. secur council lift embargo iraq
A1Q4VUJBMY78YR,266,0,1,three five perman member franc russia china push u.n. secur council lift embargo iraq
A18941IO2ZZWW6,266,1,1,three five perman member franc russia china push u.n. secur council lift embargo iraq
A11GX90QFWDLMM,266,1,1,three five perman member franc russia china push u.n. secur council lift embargo iraq
A19IBSKBTABMR3,934,0,0,govern announc last week plan rais oil price
AEX5NCH03LWSG,934,0,0,govern announc last week plan rais oil price
A17RPF5ZMO75GW,934,0,0,govern announc last week plan rais oil price
A15L6WGIK3VU7N,934,0,0,govern announc last week plan rais oil price
A3U7T47F498T1P,934,0,0,govern announc last week plan rais oil price
AXBQF8RALCIGV,934,1,0,govern announc last week plan rais oil price
A1DCEOFAUIDY58,934,0,0,govern announc last week plan rais oil price
A1Q4VUJBMY78YR,934,0,0,govern announc last week plan rais oil price
A18941IO2ZZWW6,934,1,0,govern announc last week plan rais oil price
A11GX90QFWDLMM,934,1,0,govern announc last week plan rais oil price
A19IBSKBTABMR3,961,1,1,seiler report miss march num2 found four day later marsh near campu apart
AEX5NCH03LWSG,961,0,1,seiler report miss march num2 found four day later marsh near campu apart
A17RPF5ZMO75GW,961,1,1,seiler report miss march num2 found four day later marsh near campu apart
A15L6WGIK3VU7N,961,0,1,seiler report miss march num2 found four day later marsh near campu apart
A3U7T47F498T1P,961,0,1,seiler report miss march num2 found four day later marsh near campu apart
